stock_id,name,cash
sh.600754,锦江酒店,25633.044
sh.600760,中航沈飞,15054.076000000005
sh.600763,通策医疗,19472.5
sh.600795,国电电力,20201.718000000008
sh.600803,新奥股份,19397.59199999999
sh.600809,山西汾酒,19901.856
sh.600837,海通证券,18365.94400000001
sh.600845,宝信软件,18399.740000000005
sh.600875,东方电气,20236.261999999984
sh.600884,杉杉股份,20002.33
sh.600886,国投电力,19159.02599999999
sh.600887,伊利股份,17145.64599999999
sh.600893,航发动力,21892.158
sh.600900,长江电力,18645.863999999998
sh.600905,三峡能源,19178.865999999998
sh.600918,中泰证券,18992.665999999997
sh.600919,江苏银行,19708.870000000006
sh.600926,杭州银行,17980.678000000007
sh.600958,东方证券,19511.428
sh.600989,宝丰能源,21093.24600000001
sh.600999,招商证券,20040.37
sh.601006,大秦铁路,19979.282
sh.601009,南京银行,19218.52
sh.601012,隆基绿能,18446.436
sh.601021,春秋航空,16369.857999999993
sh.601066,中信建投,15344.417999999996
sh.601088,中国神华,19404.670000000006
sh.601100,恒立液压,22428.656000000006
sh.601111,中国国航,19312.295999999988
sh.601117,中国化学,18510.69800000001
sh.601138,工业富联,19065.926
sh.601155,新城控股,17009.166
sh.601166,兴业银行,15617.462000000003
sh.601169,北京银行,19467.22800000001
sh.601186,中国铁建,20051.157999999996
sh.601211,国泰君安,19428.49399999999
sh.601216,君正集团,19190.560000000005
sh.601225,陕西煤业,19590.88600000001
sh.601229,上海银行,18816.642
sh.601236,红塔证券,17789.582000000002
sh.601238,广汽集团,19669.656000000003
sh.601288,农业银行,19695.066000000013
sh.601318,中国平安,18570.72799999999
sh.601319,中国人保,19515.166
sh.601328,交通银行,19650.622000000018
sh.601336,新华保险,16436.462000000003
sh.601360,三六零,19385.432000000008
sh.601377,兴业证券,18786.078000000012
sh.601390,中国中铁,19656.678
sh.601398,工商银行,19523.624000000003
sh.601600,中国铝业,22721.250000000015
sh.601601,中国太保,17997.102
sh.601607,上海医药,18217.4
sh.601615,明阳智能,19509.883999999995
sh.601618,中国中冶,20086.185999999994
sh.601628,中国人寿,17244.489999999994
sh.601633,长城汽车,20014.393999999986
sh.601658,邮储银行,19319.780000000006
sh.601668,中国建筑,19554.000000000007
sh.601669,中国电建,20559.16399999999
sh.601688,华泰证券,20021.458000000017
sh.601689,拓普集团,17671.741999999987
