stock_id,name,cash
sz.000001,平安银行,17725.736000000004
sz.000002,万科A,22040.384000000005
sz.000063,中兴通讯,19841.608
sz.000069,华侨城A,19420.55600000002
sz.000100,TCL科技,19896.589999999997
sz.000157,中联重科,16421.277999999995
sz.000166,申万宏源,19876.41000000001
sz.000301,东方盛虹,19230.88199999999
sz.000333,美的集团,19323.67399999999
sz.000338,潍柴动力,22932.46799999998
sz.000408,藏格矿业,19659.116
sz.000425,徐工机械,19868.152000000006
sz.000538,云南白药,18323.068
sz.000568,泸州老窖,30855.634
sz.000596,古井贡酒,22775.471999999998
sz.000617,中油资本,19312.717999999993
sz.000625,长安汽车,18534.611999999972
sz.000651,格力电器,18133.316000000003
sz.000661,长春高新,0.0
sz.000708,中信特钢,20602.752000000008
sz.000723,美锦能源,19608.040000000015
sz.000725,京东方A,19963.220000000005
sz.000733,振华科技,20727.701999999987
sz.000768,中航西飞,23289.850000000002
sz.000776,广发证券,21112.863999999998
sz.000786,北新建材,20587.328000000005
sz.000792,盐湖股份,21244.608
sz.000800,一汽解放,19119.55
sz.000858,五粮液,0.0
sz.000876,新希望,18513.221999999994
sz.000895,双汇发展,17367.006
sz.000938,紫光股份,16863.740000000005
sz.000963,华东医药,13746.238000000005
sz.000977,浪潮信息,20741.573999999986
sz.000983,山西焦煤,19462.521999999983
sz.002001,新和成,20452.388
sz.002007,华兰生物,17227.659999999993
sz.002027,分众传媒,20336.275999999994
sz.002049,紫光国微,22550.752
sz.002050,三花智控,19089.55200000001
sz.002064,华峰化学,19315.338000000003
sz.002074,国轩高科,22877.621999999996
sz.002120,韵达股份,18923.609999999993
sz.002129,TCL中环,25123.181999999993
sz.002142,宁波银行,18836.058000000005
sz.002179,中航光电,22189.818000000014
sz.002202,金风科技,17900.17
sz.002230,科大讯飞,19491.781999999996
sz.002236,大华股份,19750.440000000002
sz.002241,歌尔股份,26178.460000000017
sz.002252,上海莱士,17753.163999999997
sz.002271,东方雨虹,14027.752
sz.002304,洋河股份,19387.937999999995
sz.002311,海大集团,20171.542000000005
sz.002352,顺丰控股,21858.271999999997
sz.002371,北方华创,28940.27
sz.002410,广联达,19965.052000000003
sz.002414,高德红外,18870.974
sz.002415,海康威视,17946.115999999998
sz.002459,晶澳科技,34256.554
sz.002460,赣锋锂业,35401.856
sz.002466,天齐锂业,25594.304000000004
sz.002475,立讯精密,12138.46399999999
sz.002493,荣盛石化,22198.252
sz.002555,三七互娱,18079.738000000005
sz.002594,比亚迪,38229.99799999999
sz.002601,龙佰集团,26430.450000000004
sz.002648,卫星化学,31232.51999999999
sz.002709,天赐材料,18794.812000000013
sz.002714,牧原股份,21745.503999999997
sz.002736,国信证券,18036.405999999995
sz.002756,永兴材料,28848.565999999984
sz.002812,恩捷股份,23780.525999999998
sz.002821,凯莱英,0.0
sz.002841,视源股份,18568.098000000005
sz.002916,深南电路,13269.816000000004
sz.002920,德赛西威,23861.663999999997
sz.002938,鹏鼎控股,12595.956000000002
sz.003816,中国广核,19830.930000000008
sz.300014,亿纬锂能,30058.424000000006
sz.300015,爱尔眼科,21575.266
sz.300033,同花顺,19975.773999999994
sz.300059,东方财富,19974.563999999988
sz.300122,智飞生物,16048.828000000001
sz.300124,汇川技术,22605.821999999986
sz.300142,沃森生物,14129.166000000003
sz.300207,欣旺达,20049.940000000006
sz.300223,北京君正,24765.676
sz.300274,阳光电源,16756.51800000001
sz.300316,晶盛机电,19623.68600000001
sz.300347,泰格医药,19214.092000000004
sz.300408,三环集团,19049.734000000015
sz.300413,芒果超媒,17633.145999999993
sz.300433,蓝思科技,17576.177999999993
sz.300450,先导智能,23887.55799999999
sz.300454,深信服,20880.904
sz.300496,中科创达,24417.505999999994
sz.300498,温氏股份,16153.306000000002
sz.300601,康泰生物,17314.90999999999
sz.300628,亿联网络,24019.093999999994
sz.300661,圣邦股份,0.0
sz.300750,宁德时代,23024.98
sz.300751,迈为股份,0.0
sz.300759,康龙化成,24354.908000000003
sz.300760,迈瑞医疗,0.0
sz.300763,锦浪科技,23109.595999999998
sz.300769,德方纳米,18196.635999999995
sz.300782,卓胜微,0.0
sz.300896,爱美客,0.0
sz.300919,中伟股份,22575.097999999998
sz.300957,贝泰妮,0.0
sz.300979,华利集团,20170.896
sz.300999,金龙鱼,13822.374000000005
sh.600000,浦发银行,19567.20600000001
sh.600009,上海机场,14756.795999999997
sh.600010,包钢股份,20878.73199999998
sh.600011,华能国际,21034.03799999999
sh.600015,华夏银行,20302.12199999999
sh.600016,民生银行,19720.095999999994
sh.600018,上港集团,20667.296000000002
sh.600019,宝钢股份,19544.896000000004
sh.600025,华能水电,20385.300000000014
sh.600028,中国石化,20054.068
sh.600029,南方航空,19549.903999999984
sh.600030,中信证券,17419.588
sh.600031,三一重工,25128.664000000004
sh.600036,招商银行,18123.233999999997
sh.600039,四川路桥,20837.776000000016
sh.600048,保利发展,17746.746
sh.600050,中国联通,19554.49199999998
sh.600061,国投资本,17038.032000000003
sh.600085,同仁堂,22462.668000000016
sh.600089,特变电工,30219.104000000003
sh.600104,上汽集团,21018.071999999993
sh.600111,北方稀土,23676.675999999992
sh.600115,中国东航,20350.988000000012
sh.600132,重庆啤酒,19286.138000000006
sh.600150,中国船舶,22588.605999999996
sh.600176,中国巨石,20056.521999999997
sh.600183,生益科技,20974.38599999999
sh.600188,兖矿能源,25783.458000000002
sh.600196,复星医药,14363.142000000003
sh.600219,南山铝业,19688.69599999999
sh.600233,圆通速递,20219.836000000014
